1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
-163208,-163606,-163532,-163914,-163542,-164070,-163762,-163922,-163558,-163972,-163900,-164116,-163606,-163916,-163978,-163820,-163384,-163878,-164210,-164216,-163486,-163474,-164098,-163574,-163780,-163908,-163856,-163810,-163454,-163760,-163676,-163586,-163304,-163764,-163676,-163646,-163898,-163642,-163832,-163776,-163760,-163904,-163662,-163802,-163500,-163752,-163786,-163670,-163566,-163580,-163912,-163984,-163624,-163944,-163814,-163790,-163410,-163944,-164238,-164034,-163462,-163962,-163926,-163810,-163482,-163924,-163456,-163938,-163636,-163832,-163894,-163894,-163688,-163720,-163586,-163760,-163410,-163952,-163776,-163746,-163842,-163868,-163560,-163964,-163448,-163720,-163958,-163784,-163894,-163502,-163748,-163690,-163812,-164162,-163774,-164100,-163328,-163844,-163800,-163788,
-171738,-172290,-172774,-172548,-172306,-172352,-172956,-172940,-172232,-172600,-172372,-172696,-172138,-172886,-172732,-172810,-172488,-172622,-173188,-172396,-172738,-172604,-172748,-172784,-172334,-172670,-172364,-172826,-172368,-172684,-172516,-172530,-172354,-172730,-172846,-172690,-172262,-172978,-172314,-172676,-172456,-172366,-172386,-172858,-172322,-172434,-172496,-172614,-172432,-172776,-172536,-172594,-172502,-172796,-172248,-172996,-172486,-172484,-172472,-172214,-172610,-172822,-172300,-172906,-172514,-172740,-173024,-172908,-172352,-172626,-172380,-172928,-172694,-172666,-172562,-172710,-172222,-172566,-172708,-172710,-172510,-172632,-172614,-172350,-172526,-172706,-172810,-172644,-172594,-172928,-172788,-172914,-172654,-172796,-172678,-172954,-172794,-172286,-172462,-172462,
-179176,-179754,-179870,-179792,-179836,-179904,-180084,-180066,-179508,-180000,-179748,-180266,-179558,-179872,-180454,-179810,-179778,-180332,-180046,-180056,-179666,-179594,-179762,-179472,-179578,-179524,-180062,-179784,-180032,-179832,-180050,-179718,-180098,-179878,-179772,-180340,-179794,-179752,-179876,-179762,-179852,-179778,-180024,-179894,-179746,-179948,-179834,-179822,-179274,-180268,-180044,-179966,-179752,-179992,-180098,-179766,-179556,-180024,-180130,-180192,-179882,-180020,-179858,-180224,-179628,-179990,-179994,-179496,-179764,-179932,-179796,-180192,-179784,-179962,-179826,-179818,-179742,-179712,-180004,-179826,-179454,-180006,-180414,-179896,-179514,-179732,-180178,-180030,-179694,-179994,-179888,-179854,-179692,-179856,-180082,-179852,-179466,-179982,-180028,-180100,
-185130,-185778,-185944,-185906,-185826,-186190,-186246,-186434,-185816,-186118,-186364,-186156,-185794,-186118,-186070,-186154,-185886,-185810,-185970,-185768,-185884,-186148,-185936,-186450,-186256,-186188,-186096,-186314,-185866,-185914,-186138,-186364,-186198,-186086,-185786,-185658,-185582,-186010,-186172,-185942,-186058,-185752,-186660,-186194,-185874,-185842,-185648,-185974,-185674,-186064,-185616,-186050,-185928,-185958,-185628,-186014,-186066,-185966,-186122,-186400,-186254,-186216,-186152,-186056,-186224,-185862,-186226,-186416,-185982,-185928,-186274,-186006,-185778,-186008,-185812,-186104,-186342,-186218,-186300,-186446,-186224,-185966,-186320,-185974,-185956,-186066,-185862,-186092,-185302,-186278,-185854,-185810,-185754,-186044,-186266,-186260,-185918,-185988,-186250,-186330,
-189857,-190409,-190331,-190553,-190929,-190685,-190531,-191023,-190725,-190815,-190701,-190785,-191021,-190589,-190261,-190979,-191295,-190657,-190687,-190783,-190989,-190851,-191117,-190831,-191137,-191049,-190829,-190829,-190623,-190841,-190633,-190979,-190981,-190499,-190529,-191165,-190471,-190693,-190681,-190917,-190747,-190929,-191085,-190981,-191215,-190687,-191425,-190563,-190633,-190943,-190811,-190891,-190641,-190833,-190749,-190933,-190759,-190763,-190683,-191001,-190441,-190935,-190821,-190699,-190819,-190719,-190585,-190521,-190527,-190713,-190797,-190749,-190381,-190395,-190863,-190491,-190399,-190757,-190449,-190419,-190697,-190803,-190389,-190999,-190901,-191039,-190829,-190929,-190713,-190405,-190855,-190883,-190687,-191111,-190825,-190847,-191011,-190661,-190761,-190565,
-191851,-193073,-193287,-193489,-192829,-193565,-193349,-193663,-193023,-193569,-193779,-193417,-193203,-193293,-193207,-193293,-193159,-193459,-193217,-193315,-193231,-193513,-193753,-193653,-193559,-193107,-193027,-193325,-193197,-192743,-193433,-193601,-193193,-192983,-193357,-193317,-193701,-193719,-193655,-193583,-193507,-193873,-192847,-193741,-193203,-193479,-193157,-193541,-193351,-193425,-193487,-193385,-193665,-193877,-194059,-193397,-193321,-193843,-193565,-193353,-193429,-193787,-193743,-193349,-193847,-193819,-193791,-193531,-193337,-193485,-193547,-193381,-194051,-194091,-193747,-194013,-193611,-193635,-193747,-193333,-193203,-193265,-193429,-194181,-193095,-193291,-193469,-193729,-193797,-194181,-193377,-193585,-193503,-193171,-193609,-193723,-193565,-193301,-193703,-194001,
-191589,-192643,-193769,-192997,-193193,-193507,-193429,-194115,-193311,-193885,-193479,-193773,-193845,-193921,-194433,-194097,-193611,-194453,-194277,-194963,-193471,-194519,-193739,-193717,-193941,-194229,-194021,-193781,-194379,-194589,-193881,-194109,-194001,-194013,-194819,-194645,-193899,-194049,-193749,-194071,-194235,-194639,-194259,-193935,-193917,-194271,-194057,-193513,-193615,-194875,-194375,-194805,-193837,-194753,-194291,-194513,-194035,-194057,-194579,-194405,-194097,-194449,-193759,-194481,-194165,-193973,-195003,-193949,-194153,-194261,-193907,-193955,-194123,-194735,-194225,-194713,-194369,-194759,-194117,-194167,-194379,-194245,-193955,-194063,-194137,-194307,-194501,-194935,-194061,-194745,-194571,-194305,-193835,-194351,-193911,-195007,-194665,-194155,-194817,-195183,
-185361,-186553,-187515,-187843,-187525,-187841,-188735,-188983,-188233,-188703,-188251,-189057,-189273,-189427,-189117,-188513,-188867,-189309,-189183,-188797,-188235,-189257,-189527,-189227,-188367,-189555,-189119,-189709,-188713,-188945,-189369,-189225,-189811,-189493,-189707,-189347,-189081,-188689,-189491,-188969,-189929,-189903,-189161,-189663,-188681,-189071,-189609,-189297,-189113,-189367,-189689,-189299,-189011,-188883,-189383,-190005,-189441,-189555,-189551,-189541,-188559,-189431,-189449,-189253,-189575,-189521,-189833,-189185,-189173,-188827,-189493,-189357,-189277,-189235,-189421,-190421,-188799,-189377,-189341,-189283,-189331,-189629,-189335,-189633,-189499,-189979,-189947,-189875,-188953,-188765,-190243,-189537,-188771,-189575,-189441,-189735,-189613,-189073,-189719,-190533,
-165673,-168303,-168869,-169259,-168305,-168629,-169713,-168761,-168323,-168455,-169197,-168879,-168305,-168233,-168863,-168721,-167645,-169205,-169195,-168465,-168681,-168889,-168851,-169095,-168663,-169377,-169175,-169345,-168307,-168965,-169709,-169413,-168391,-169209,-169097,-169213,-168287,-168175,-168863,-169541,-169159,-168883,-169243,-169425,-168667,-169339,-169247,-168561,-168751,-169249,-168827,-169259,-168723,-168959,-169547,-169353,-168257,-168687,-169289,-169275,-168587,-169281,-168699,-169305,-167915,-169185,-169013,-168775,-168387,-169065,-168751,-169627,-168697,-168871,-169225,-168575,-168527,-168519,-169343,-169345,-168703,-169177,-169277,-168855,-168785,-169149,-169285,-169461,-168503,-168599,-168731,-169457,-168119,-168555,-169381,-169639,-168493,-168999,-169111,-169191,
